,id,name,symbol,num_market_pairs,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,time_stamp
18,5994,Shiba Inu,SHIB,546,2020-08-01T00:00:00.000Z,589347916014481.1,589590013706694.8,19,2023-07-04T11:10:00.000Z,7.678581769017892e-06,115438537.02802232,4.9465,-0.12869555,-0.41589511,0.90575894,-11.44747717,-22.54839808,-32.38412578,4525356163.517483,0.3724,4527215130.44,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
19,4687,Binance USD,BUSD,6978,2019-09-20T00:00:00.000Z,4126370286.819097,4126370286.819097,20,2023-07-04T11:10:00.000Z,1.000143358260706,2610464948.848992,11.8603,0.01410921,0.00673112,0.02575474,0.00354376,-0.0369813,0.02164332,4126961836.0864444,0.3396,4126961836.09,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
0,1,Bitcoin,BTC,10273,2010-07-13T00:00:00.000Z,19419550.0,19419550.0,1,2023-07-04T11:11:00.000Z,31015.92346757732,16238616183.915426,37.5998,-0.05593651,1.1834652,1.39411012,13.91331253,6.49487035,8.8717182,602315276574.7911,49.5688,651334392819.12,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
1,1027,Ethereum,ETH,7064,2015-08-07T00:00:00.000Z,120219082.75728613,120219082.75728613,2,2023-07-04T11:11:00.000Z,1957.1066637905603,6987892515.686155,-10.561,0.02463083,-0.27304162,4.1582973,2.71899464,2.7309489,2.3238724,235281567979.07355,19.363,235281567979.07,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
2,825,Tether,USDT,56171,2015-02-25T00:00:00.000Z,83352722599.90813,85733529362.29857,3,2023-07-04T11:11:00.000Z,1.0001440365392884,25297951361.76452,12.394,0.00833025,0.01233472,0.01788248,0.00064395,-0.0382973,0.00137058,83364728437.61168,6.8607,85745878123.17,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
3,1839,BNB,BNB,1475,2017-07-25T00:00:00.000Z,155850743.7359085,155850743.7359085,4,2023-07-04T11:11:00.000Z,245.3475876282527,528909760.2597182,-16.5891,0.05993472,-1.85136871,2.5981585,-20.17963655,-24.53472921,-22.1015094,38237604005.67417,3.1468,38237604005.67,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
4,3408,USD Coin,USDC,13184,2018-10-08T00:00:00.000Z,27650224329.18425,27650224329.18425,5,2023-07-04T11:11:00.000Z,0.9999431106923917,3576688170.053856,16.0776,0.00283671,-0.01120343,-0.00598021,0.01371345,-0.01329914,0.01718638,27648651327.066948,2.2754,27648651327.07,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
5,52,XRP,XRP,971,2013-08-04T00:00:00.000Z,52254289650.0,99988655562.0,6,2023-07-04T11:11:00.000Z,0.48821563963719455,1017405411.608179,9.8029,0.22473143,0.89172453,1.57960279,-6.95249361,5.79598391,-5.28836484,25511361445.261986,2.0995,48821563963.72,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
6,2010,Cardano,ADA,848,2017-10-01T00:00:00.000Z,34955923793.409,35936967442.34,7,2023-07-04T11:11:00.000Z,0.29583869420346787,231773174.2327054,21.5522,0.1671475,0.44398644,4.36310881,-22.27857486,-23.89881807,-25.48981451,10341314849.71805,0.851,13312741239.16,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
7,74,Dogecoin,DOGE,732,2013-12-15T00:00:00.000Z,140032796383.70526,140032796383.70526,8,2023-07-04T11:11:00.000Z,0.06817898899114722,302996447.2694999,-7.8472,-0.11016122,0.2477731,4.23757045,-6.54311796,-13.36137213,-30.5980338,9547294483.0442,0.7857,9547294483.04,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
8,2,Litecoin,LTC,932,2013-04-28T00:00:00.000Z,73287139.22743528,84000000.0,9,2023-07-04T11:11:00.000Z,107.07836592115467,1033162904.9149573,-21.135,-0.34570538,-3.06056481,20.56915213,11.13117858,21.6137998,13.19635578,7847467111.509923,0.6458,8994582737.38,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
9,5426,Solana,SOL,476,2020-04-10T00:00:00.000Z,400892412.1607533,551546215.6531088,10,2023-07-04T11:11:00.000Z,19.153686747438456,302159098.11035484,-15.2061,-0.36831507,-1.44881002,15.05950793,-11.28909184,-12.72011182,-9.53420899,7678567681.952056,0.6319,10564143441.35,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
10,1958,TRON,TRX,774,2017-09-13T00:00:00.000Z,89893952979.92505,89894076946.73865,11,2023-07-04T11:11:00.000Z,0.07825342595147013,156228132.98854873,16.3418,0.31452479,1.01339672,4.62495228,-4.18893891,11.66350536,17.67944404,7034509792.999502,0.5789,7034519493.83,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
11,6636,Polkadot,DOT,520,2020-08-19T00:00:00.000Z,1200977064.1851268,1330455941.4903066,12,2023-07-04T11:11:00.000Z,5.478564191967016,125221577.94632636,-31.1847,0.43039746,0.18503948,7.3940275,2.14998185,-4.94495337,-16.06359186,6579629939.218308,0.5415,7288988280.04,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
12,3890,Polygon,MATIC,754,2019-04-28T00:00:00.000Z,9319469069.28493,10000000000.0,13,2023-07-04T11:11:00.000Z,0.7031803959997431,339422139.70834243,25.286,-0.17293966,1.96102896,5.9101263,-22.24641172,-28.96578571,-38.87159148,6553267950.647134,0.5393,7031803960.0,2023-07-04T11:11:00.000Z,2023-07-04 11:12:53.569818+00:00
